personaje_id,universo_id,nombre,rol,hiperfoco,regulacion_emocional,sensorialidad,comunicacion,aprendizaje,sociabilidad,propiocepcion,funcion_ejecutiva,estilo_comunicacion,estilo_aprendizaje,estilo_socializacion,perfil_sensorial,justificacion,descripcion,url_imagen
1,1,Hermione Granger,aliado,5,3,2,5,5,3,2,5,verbal_directo,teorico,intimo,neutro,Obsesión constante por libros y reglas. Matriculación en todas las asignaturas año 3. Verbal precisa y literal. Planificación y organización excepcionales. Círculo social pequeño pero intenso.,"Hermione es la mejor estudiante de Hogwarts y el cerebro del trío protagonista. Hija de dos dentistas muggles, llega al mundo mágico sin ninguna ventaja heredada y lo compensa con un estudio obsesivo, una memoria extraordinaria y una lógica implacable. A lo largo de la saga demuestra que la inteligencia y la preparación pueden más que el privilegio, y que la lealtad hacia los suyos no tiene límites. Su capacidad para absorber información, planificar con detalle y defender sus convicciones con datos la convierte en uno de los personajes más queridos de la literatura juvenil.",https://static.wikia.nocookie.net/harrypotter/images/3/34/Hermione_Granger.jpg/revision/latest/scale-to-width-down/450?cb=20251206062840
2,1,Luna Lovegood,aliado,5,5,4,2,4,2,3,3,verbal_indirecto,asociativo,autonomo,buscador,Hiperfoco en criaturas no reconocidas y mundo alternativo. Regulación emocional extraordinariamente estable ante el rechazo. Comunicación asociativa que no sigue convenciones sociales. Aprendizaje por conexiones inesperadas.,"Luna es la estudiante más peculiar de Hogwarts, conocida por sus teorías inusuales, su mirada soñadora y su total desinterés por lo que piensen los demás. Hija de un editor de una revista de conspiraciones, creció rodeada de ideas que el mundo mágico convencional descarta. Su autenticidad radical y su capacidad para ver la realidad desde ángulos que nadie más considera la hacen al mismo tiempo incomprendida y extraordinariamente perceptiva. Con Harry es una de las pocas personas capaces de ver los Thestrales, lo que marca un vínculo especial entre quienes han conocido la pérdida.",https://static.wikia.nocookie.net/harrypotter/images/e/ed/Luna_Lovegood.jpg/revision/latest/scale-to-width-down/404?cb=20160902165706
3,1,Neville Longbottom,aliado,4,3,3,2,3,3,2,1,verbal_indirecto,practico,intimo,neutro,Hiperfoco en Herbología. Olvido selectivo de lo que no le motiva. Torpeza motora frecuente. Valiente cuando sus valores están en juego — lidera el Ejército de Dumbledore en año 7.,"Neville empieza la saga como el chico torpe que siempre olvida las contraseñas y revienta los calderos en Pociones. Pero debajo de esa fachada insegura hay una valentía tranquila y una lealtad inquebrantable que florecen cuando más se necesitan. Su historia es la de alguien que ha vivido toda su vida a la sombra de las expectativas ajenas, descubriendo poco a poco que su verdadera fortaleza no estaba donde nadie miraba. En Las Reliquias de la Muerte lidera la resistencia en Hogwarts con una determinación que sorprende a todos menos a quienes siempre creyeron en él.",https://static.wikia.nocookie.net/harrypotter/images/b/ba/Neville_Longbottom_DHF2_promo_2.jpg/revision/latest/scale-to-width-down/450?cb=20230923173442
4,1,Harry Potter,protagonista,3,2,2,3,3,3,4,2,verbal_directo,practico,intimo,neutro,Hiperfoco situacional ante amenazas o misiones. Desregulación frecuente con ira e impulsividad. Mejor Buscador de su generación — excelente conciencia corporal. Actúa antes de planificar.,"Harry es el niño que sobrevivió, el elegido, el chico que creció en un armario bajo las escaleras sin saber que era famoso en el mundo mágico. A lo largo de siete libros pasa de la desorientación a la determinación, cargando con una profecía que nunca pidió y con el peso de ser el símbolo de esperanza de toda una comunidad. Su fortaleza no es la inteligencia ni la planificación sino la lealtad absoluta a quienes quiere y la capacidad de actuar cuando más le cuesta. Es impulsivo, justo y profundamente humano en sus miedos y sus errores.",https://static.wikia.nocookie.net/harrypotter/images/c/ce/Harry_Potter_DHF1.jpg/revision/latest?cb=20140603201724
5,1,Ron Weasley,aliado,2,1,3,3,2,3,4,2,verbal_directo,practico,intimo,neutro,Miedo intenso y constante a perder seres queridos y situaciones nuevas. Hiperapego ansioso. Guardián de Gryffindor cuando tiene confianza. Rendimiento muy dependiente de su estado emocional.,"Ron es el mejor amigo de Harry, el sexto de siete hermanos en una familia de magos de pura sangre con poco dinero y mucho amor. Vive permanentemente a la sombra de hermanos brillantes y de un mejor amigo famoso, lo que alimenta una inseguridad que aflora en los peores momentos pero que nunca logra borrar su generosidad natural. Es divertido, leal y más intuitivo de lo que él mismo cree. Su relación con Hermione, construida sobre años de discusiones y respeto mutuo, es uno de los arcos más honestos de la saga.",iconografia/personajes/ron_weasly.jpg
6,1,Ginny Weasley,aliado,2,4,2,4,3,4,5,4,verbal_directo,practico,grupal,neutro,Dedicada en Quidditch sin obsesión excluyente — vida equilibrada y diversa. Directa sin filtros. Cazadora excepcional. Lidera el Ejército de Dumbledore junto a Neville en año 7.,"Ginny es la única hija de los Weasley, la más pequeña de siete hermanos, y una de las brujas más capaces de su generación. Creció eclipsada por sus hermanos pero desarrolló una seguridad en sí misma y una habilidad mágica que la ponen al nivel de cualquiera. Su historia personal con el diario de Voldemort en el segundo libro la marca profundamente y explica parte de la fortaleza serena que muestra después. Es directa, valiente y no tiene ningún problema en decir exactamente lo que piensa.",iconografia/personajes/ginny_weasley.jpg
7,1,Fred Weasley,aliado,5,4,2,5,4,5,4,4,verbal_directo,practico,grupal,neutro,Hiperfoco absoluto en trucos y la tienda de artículos de broma. Alma de cualquier grupo. Monta una tienda exitosa con 17 años. Beater de Quidditch.,"Fred es la mitad de los gemelos Weasley, inseparable de George y responsable de incontables momentos de caos controlado en Hogwarts. Con su hermano fundó Sortilegios Weasley y convirtió el humor en una forma de resistencia y de alegría. Es generoso, creativo y usa la risa como escudo y como arma. Su muerte en la Batalla de Hogwarts es uno de los golpes más duros de la saga precisamente porque representa la pérdida de algo que parecía indestructible: la capacidad de reír en medio del horror.",https://static.wikia.nocookie.net/harrypotter/images/9/9e/Fred_Weasley_promo_DHF1.jpg/revision/latest/scale-to-width-down/450?cb=20230526122025
8,1,George Weasley,aliado,5,3,2,5,4,4,4,4,verbal_directo,practico,grupal,neutro,Hiperfoco absoluto en trucos y la tienda. Más observador y contenido que Fred. Ligeramente menos necesitado de audiencia. Beater de Quidditch.,"George es la otra mitad de los gemelos Weasley, el cómplice eterno de Fred y el corazón de buena parte del humor de la saga. Como Fred, convirtió las bromas y los inventos mágicos en una vocación seria. Después de la guerra, continúa con la tienda que fundaron juntos cargando con un dolor que nunca lo abandona del todo pero que no lo rompe. Su historia es la de alguien que aprende a vivir siendo la mitad visible de algo que siempre fue dos.",https://static.wikia.nocookie.net/harrypotter/images/b/b5/George_Weasley_promo_DHF1.jpg/revision/latest/scale-to-width-down/450?cb=20161119235305
9,1,Albus Dumbledore,mentor,5,4,2,3,5,3,3,5,verbal_indirecto,teorico,intimo,neutro,Hiperfoco en el bien mayor — obsesión con derrotar a Voldemort. Oculta culpa profunda por Ariana y Grindelwald. Comunicación enigmática por capas. Planificación a largo plazo excepcional durante décadas.,"Dumbledore es el director de Hogwarts y el mago más poderoso de su tiempo, pero también uno de los personajes más complejos de la saga. Su sabiduría aparente esconde decisiones moralmente cuestionables, errores de juventud y una tendencia a cargar a otros con responsabilidades que debería haber compartido. Es un maestro del largo plazo que sacrifica el presente por el futuro y que no siempre comunica lo que debería. Su relación con Harry está construida sobre información dosificada y protección paternalista que el propio Dumbledore reconoce al final como una forma de fallo.",https://static.wikia.nocookie.net/harrypotter/images/7/75/Albus_Dumbledore_%28HBPF_promo%29.jpg/revision/latest/scale-to-width-down/450?cb=20150822232849
10,1,Minerva McGonagall,mentor,2,4,2,4,5,3,4,5,verbal_directo,teorico,intimo,neutro,Rígida con las normas pero hace excepciones con criterio. Animaga y buscadora de Quidditch antes que James Potter. Organización y planificación impecables.,"McGonagall es la directora de la casa Gryffindor, profesora de Transformaciones y la columna vertebral de Hogwarts cuando todo lo demás falla. Es estricta, justa y enormemente capaz, con un sentido del humor seco que aparece en los momentos más inesperados. Su lealtad a Hogwarts y a sus alumnos es incondicional, y cuando llega el momento de defender lo que importa no duda ni un segundo. Es el tipo de autoridad que impone respeto no por el cargo sino por la coherencia perfecta entre lo que dice y lo que hace.",https://static.wikia.nocookie.net/harrypotter/images/6/65/ProfessorMcGonagall-HBP.jpg/revision/latest/scale-to-width-down/494?cb=20100612114856
