"nd","modulo","explicacion_perfil","tecnicas","adaptaciones"
"Dislexia","3","La dislexia afecta principalmente a la lectura y la escritura, no a la inteligencia ni a la capacidad de comunicarse. Las personas con dislexia suelen tener un estilo de comunicación más oral, visual y narrativo: piensan en imágenes y en historias antes que en palabras escritas. El esfuerzo extra que requiere el texto escrito puede generar inseguridad al expresarse por escrito, pero no refleja sus capacidades reales.","Apóyate en la comunicación oral cuando puedas — explica en voz alta lo que te cuesta poner por escrito|Usa grabaciones de voz para tomar notas o responder mensajes cuando escribir se haga cuesta arriba|Si tienes que escribir, hazlo primero como borrador libre sin corregir: primero el contenido, luego la forma|Usa correctores ortográficos como apoyo, no como sustituto — son una herramienta, no una trampa|Practica el mapeo visual: esquemas, flechas y dibujos para organizar ideas antes de escribirlas","Pide que las instrucciones importantes te las den también de forma oral, no solo por escrito|En conversaciones formales, solicita tiempo extra para leer documentos antes de responder|Informa a personas de confianza de que prefieres comunicarte por voz o videollamada antes que por mensajes largos|En entornos familiares, normaliza el uso de notas de voz en lugar de texto escrito"
"TDAH","3","Las personas con TDAH tienen un estilo comunicativo vivo, espontáneo y asociativo: saltan entre ideas, hacen conexiones inesperadas y piensan en voz alta. Esto puede parecer desorganizado desde fuera, pero refleja una mente que procesa de forma no lineal. La impulsividad puede llevar a interrumpir o a decir cosas sin filtrar, no por falta de respeto sino porque el pensamiento va más rápido que el freno.","Antes de una conversación importante, anota los puntos clave que quieres decir para no perderte en el camino|Practica la pausa de 3 segundos antes de responder en situaciones de tensión — da tiempo al filtro de activarse|Usa listas cortas y puntos visuales para estructurar lo que quieres comunicar por escrito|Si interrumpes con frecuencia, acuerda una señal con personas cercanas para que te lo indiquen sin tensión|Cuando tengas que escribir algo largo, usa voz a texto y luego edita — es más fácil que empezar en blanco","Pide a familiares y amigos cercanos que te recuerden los temas pendientes sin juzgar el olvido|Acuerda formas directas de comunicación: mejor una llamada corta que un hilo de mensajes largo|En conversaciones importantes, pide que te den la información en bloques pequeños y concretos|Normaliza con tu entorno que necesitas confirmación de lo acordado por escrito para no olvidarlo"
"TEA","3","En el TEA, la comunicación suele ser directa, precisa y literal. Las personas autistas tienden a comunicarse de forma honesta y sin rodeos, lo que puede malinterpretarse como brusquedad. El lenguaje figurado, la ironía y las insinuaciones pueden resultar confusos porque el cerebro autista procesa el lenguaje de forma más literal. Esto no es un déficit: es una forma de comunicación diferente que tiene sus propias fortalezas.","Practica preguntar directamente cuando algo no queda claro — pedir aclaraciones no es debilidad|Crea un pequeño glosario personal de expresiones sociales que te resulten confusas y su significado probable|En comunicación escrita, te puede ayudar leer el mensaje en voz alta antes de enviarlo para detectar cómo puede sonar|Si el lenguaje no verbal te cuesta, es válido decirlo: 'no sé bien si eso es una broma o no'|Usa la escritura cuando necesites tiempo para procesar — es completamente válido responder más tarde","Pide a personas cercanas que sean directas contigo y eviten los rodeos o mensajes indirectos|Acuerda con tu entorno que pueden preguntarte directamente cómo estás en lugar de esperar señales no verbales|Normaliza que necesitas procesar antes de responder — no es descortesía, es tu ritmo|En situaciones sociales nuevas, está bien informar a alguien de confianza de que puede ayudarte a interpretar dinámicas grupales"
"AACC","3","Las personas con altas capacidades suelen tener un vocabulario muy amplio y un estilo de comunicación rico y complejo desde edades tempranas. Pueden tener dificultades para adaptar su lenguaje a distintos interlocutores, lo que a veces genera sensación de desconexión social. La intensidad con la que viven las ideas puede hacer que la comunicación sea muy apasionada en algunos momentos y muy directa en otros.","Practica el ajuste de registro: habla diferente con tu abuela que con un colega — ambos son válidos|Cuando notes que pierdes al interlocutor, prueba a hacer una pausa y preguntar: '¿te explico más o menos detalle?'|Trabaja la escucha activa: las AACC a veces van tan rápido que adelantan la respuesta antes de que el otro termine|Usa el humor y la analogía como puentes — conectan tu forma de pensar con la de los demás|Si sientes que nadie te entiende en conversaciones cotidianas, busca espacios donde tu nivel de comunicación sea bienvenido","Pide a tu entorno que te avisen cuando la conversación se ha vuelto unidireccional — sin drama, como señal|Normaliza con personas cercanas que a veces necesitas conversaciones profundas, no solo charla superficial|En familia, acuerda que está bien no saber de todo — la curiosidad no tiene que ser competitiva|Busca al menos un espacio social donde puedas comunicarte sin autocensurarte"
"Discalculia","3","La discalculia afecta al procesamiento numérico, no a la comunicación general. Sin embargo, puede generar dificultades específicas al comunicar cantidades, fechas, horas o instrucciones que implican números. Esto puede provocar inseguridad o evitación en situaciones donde los números son protagonistas.","Apóyate en referencias visuales para comunicar cantidades: 'más o menos como una taza' en lugar de '250ml'|Para fechas y horas, usa siempre un soporte externo — calendario, alarma, nota — y comunícalo abiertamente|Si tienes que dar instrucciones numéricas, escríbelas antes para revisarlas|Practica verbalizar la incertidumbre con los números: 'no estoy segura del número exacto, déjame comprobarlo'|Usa comparaciones y analogías en lugar de cifras cuando sea posible","Pide que las instrucciones con números te las den también por escrito o con referencia visual|Normaliza con tu entorno que necesitas confirmar fechas y cantidades — no es descuido sino estrategia|En contextos familiares, usa herramientas compartidas como calendarios digitales para evitar malentendidos de fechas"
"Dispraxia/TDC","3","La dispraxia afecta principalmente a la coordinación motora, pero también puede influir en la comunicación no verbal: los gestos, la expresión facial y la postura pueden no acompañar al mensaje verbal de forma sincronizada. Esto puede generar malentendidos en la lectura del lenguaje corporal. La comunicación oral suele estar intacta, aunque el procesamiento y la respuesta pueden ser algo más lentos.","Sé explícito/a verbalmente sobre tus intenciones y emociones — no des por sentado que el lenguaje corporal lo comunica|Practica delante del espejo para tomar conciencia de tu expresión facial en distintas situaciones|En conversaciones importantes, prioriza el contenido verbal sobre el no verbal|Si notas que la gente malinterpreta tu expresión, puedes decirlo directamente: 'sé que parezco serio pero estoy bien'|La escritura puede ser un canal más cómodo para comunicar cosas complejas o emocionalmente cargadas","Pide a personas cercanas que no lean demasiado en tu lenguaje corporal y que pregunten directamente|Normaliza que tu ritmo de respuesta puede ser diferente — no es desinterés|En entornos sociales nuevos, está bien presentarte brevemente explicando que tu expresión no verbal puede no coincidir con lo que sientes"
"Síndrome de Tourette","3","El síndrome de Tourette puede afectar a la comunicación cuando los tics vocales o motores interrumpen el flujo del habla o generan reacciones en el interlocutor. Esto puede crear ansiedad anticipatoria en situaciones comunicativas. La persona con Tourette tiene plena capacidad comunicativa — el reto está en gestionar el impacto social de los tics, no en la comunicación en sí.","Informa a personas de confianza sobre el Tourette de forma natural — la educación reduce la incomodidad de ambos lados|Practica respuestas breves y tranquilas para situaciones en que alguien reaccione a un tic: 'es un tic, no pasa nada'|En situaciones de alta tensión comunicativa, técnicas de relajación previas pueden reducir la frecuencia de tics|Elige entornos de comunicación donde te sientas cómodo/a — el estrés amplifica los tics|La comunicación escrita puede ser un canal alternativo valioso cuando los tics generan mucho estrés","Informa a familiares y amigos cercanos para que normalicen los tics sin comentarlos en cada momento|Pide que en conversaciones importantes no se interrumpa ni se reaccione a los tics|En entornos sociales nuevos, decide tú cuándo y cómo informar — es tu información y tu ritmo"
"SPD","3","El trastorno de procesamiento sensorial puede afectar a la comunicación en entornos con mucho ruido, luz intensa o movimiento. La sobrecarga sensorial dificulta el procesamiento del lenguaje y la formulación de respuestas, no porque haya un problema comunicativo sino porque el sistema nervioso está ocupado gestionando el entorno. En condiciones adecuadas, la comunicación suele ser completamente fluida.","Identifica tus umbrales sensoriales: ¿qué entornos dificultan tu comunicación? ¿Ruido, luz, multitud?|Comunica tus necesidades sensoriales antes de situaciones importantes: 'prefiero hablar en un sitio tranquilo'|Si estás en sobrecarga, es válido pedir una pausa antes de responder: 'dame un momento'|Usa comunicación escrita o mensajes de voz como alternativa cuando el entorno no es el adecuado|Practica identificar y nombrar tu estado sensorial — eso te ayuda a comunicarlo a los demás","Pide a tu entorno que las conversaciones importantes sean en espacios tranquilos y sin distractores|Normaliza que necesitas condiciones específicas para comunicarte bien — no es exigencia, es necesidad|En familia, acuerda una señal de 'necesito bajar el volumen' para situaciones de sobrecarga"
"Tartamudez","3","La tartamudez es una disfluencia del habla que afecta al flujo y ritmo de la comunicación oral. No está relacionada con la inteligencia ni con la claridad de pensamiento. El mayor impacto suele venir del entorno — las reacciones de los demás, la presión para hablar rápido y la anticipación a situaciones difíciles pueden aumentar la disfluencia y la ansiedad comunicativa.","Practica hablar a tu propio ritmo sin intentar compensar — la prisa aumenta la disfluencia|El contacto visual puede ser difícil en momentos de mayor disfluencia — no pasa nada si lo reduces|Técnicas de respiración diafragmática antes de situaciones de habla pública pueden reducir la tensión|Identifica tus situaciones de mayor disfluencia y prepárate para ellas con antelación|La comunicación escrita puede ser un apoyo complementario, no un sustituto — el objetivo es sentirte cómodo/a en ambas","Pide a personas cercanas que no terminen tus frases ni te corrijan — que simplemente escuchen|Normaliza con tu entorno que necesitas tiempo para hablar sin que sientan que tienen que rellenar el silencio|En situaciones sociales nuevas, decide tú cuándo informar sobre la tartamudez — no tienes obligación de explicarte"
"Discapacidad Intelectual","3","Las personas con discapacidad intelectual pueden tener un estilo comunicativo más concreto, directo y centrado en el presente. El procesamiento del lenguaje abstracto o complejo puede ser más lento, pero la comunicación de necesidades, emociones y experiencias es completamente posible y rica. El entorno tiene mucha responsabilidad en adaptar su lenguaje para facilitar la comunicación.","Usa lenguaje claro y directo — frases cortas, palabras concretas, un mensaje cada vez|Los apoyos visuales como pictogramas, fotos o gestos pueden complementar la comunicación oral|Practica pedir que te repitan o expliquen de otra manera cuando algo no queda claro|La repetición y la rutina en los intercambios comunicativos ayudan a consolidar la comprensión|Celebra y refuerza los intercambios comunicativos exitosos — la confianza es parte de la habilidad","Pide a familiares y personas cercanas que usen frases cortas, lenguaje concreto y apoyo visual cuando sea necesario|Acuerda señales o palabras clave para situaciones recurrentes — simplifica los intercambios cotidianos|Normaliza que necesitas más tiempo para procesar y responder — la pausa es parte de tu comunicación"
