breed,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category,grooming_frequency_value_seidr,shedding_value_seidr,energy_level_value_seidr,trainability_value_seidr,demeanor_value_seidr,puntuacion_asistencia,url_imagen,caracter
Affenpinscher,"Confident, Famously Funny, Fearless",148,22.86,29.21,3.17514659,4.535923700000001,12.0,15.0,Toy Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,1.0,Outgoing,3.0,3.0,3,4,5,4.6,iconografia/razas/affenpinscher.jpg,"Pequeño pero con una personalidad enorme. Seguro de sí mismo, divertido y valiente. Le encanta hacer reír a su familia y no se acobarda ante nada a pesar de su tamaño."
Afghan Hound,"Dignified, Profoundly Loyal, Aristocratic",113,63.5,68.58,22.6796185,27.2155422,12.0,15.0,Hound Group,0.8,Daily Brushing,0.2,Infrequent,0.8,Energetic,0.2,May be Stubborn,0.2,Aloof/Wary,4.0,1.0,4,1,1,1.6,iconografia/razas/afghan_hound.jpg,"Elegante y aristocrático, con una lealtad profunda hacia su familia. Reservado con los desconocidos pero absolutamente devoto con quienes quiere. Independiente y con mucho carácter."
Airedale Terrier,"Friendly, Clever, Courageous",60,58.42,58.42,22.6796185,31.751465900000003,11.0,14.0,Terrier Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.6,Regular Exercise,1.0,Eager to Please,0.8,Friendly,3.0,2.0,3,5,4,4.6,iconografia/razas/airedale_terrier.jpg,"Amigable, inteligente y valiente. El 'rey de los terriers' tiene energía para dar y tomar, aprende rápido y es un compañero leal tanto en aventuras como en casa."
Akita,"Courageous, Dignified, Profoundly Loyal",47,60.96,71.12,31.751465900000003,58.9670081,10.0,13.0,Working Group,0.8,Daily Brushing,0.6,Seasonal,0.8,Energetic,1.0,Eager to Please,0.6,Alert/Responsive,4.0,3.0,4,5,3,4.0,iconografia/razas/akita.jpg,"Valiente, digno y profundamente leal. Es reservado con los extraños pero un guardián devoto de su familia. Necesita un dueño con experiencia que entienda su independencia."
Alaskan Malamute,"Affectionate, Loyal, Playful",58,58.42,63.5,34.01942775,38.55535145,10.0,14.0,Working Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.8,Friendly,3.0,3.0,4,2,4,3.2,iconografia/razas/alaskan_malamute.jpg,"Cariñoso, leal y juguetón. Adora a su familia y tiene una energía desbordante. Necesita ejercicio y estimulación constante para estar feliz."
American Bulldog,"Loyal, Self-Confident",,50.8,63.5,27.2155422,45.359237,10.0,12.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive,1.0,3.0,4,3,3,3.2,iconografia/razas/american_bulldog.jpg,"Leal y seguro de sí mismo. Muy apegado a su familia, a quien protege con determinación. Necesita socialización temprana para canalizar bien su carácter fuerte."
American English Coonhound,"Sweet, Mellow, Sociable",175,58.42,66.04,20.41165665,29.48350405,11.0,12.0,Hound Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive,1.0,2.0,4,3,3,3.2,iconografia/razas/american_english_coonhound.jpg,"Dulce, tranquilo y sociable. Disfruta de la compañía tanto de personas como de otros perros. Fuera de casa es un rastreador incansable; dentro, un compañero afable."
American Eskimo Dog,"Playful, Perky, Smart",122,22.86,48.26,2.72155422,15.875732950000002,13.0,15.0,Non-Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,1.0,Eager to Please,1.0,Outgoing,2.0,3.0,4,5,5,4.8,iconografia/razas/american_eskimo_dog.jpg,"Juguetón, despierto e inteligente. Aprende con facilidad y adora ser el centro de atención. Es muy expresivo y necesita mucha interacción con su familia."
American Foxhound,"Independent, Easy-Going, Sweet-Tempered",186,53.34,63.5,27.2155422,31.751465900000003,11.0,13.0,Hound Group,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.8,Friendly,1.0,3.0,4,2,4,3.2,iconografia/razas/american_foxhound.jpg,"Independiente, tranquilo y de buen carácter. Es dulce con todos pero tiene un instinto cazador muy marcado. Le va bien en familia siempre que tenga espacio para moverse."
American Hairless Terrier,"Energetic, Alert, Curious",136,30.48,40.64,5.4431084400000005,7.25747792,14.0,16.0,Terrier Group,,,,,0.6,,0.6,,0.6,,,,3,3,3,3.4000000000000004,iconografia/razas/american_hairless_terrier.jpg,"Enérgico, alerta y curioso. A pesar de no tener pelo, tiene toda la personalidad típica de un terrier: activo, inteligente y siempre dispuesto a explorar."
American Leopard Hound,"Sociable, Energetic, Intelligent",,53.34,68.58,20.41165665,31.751465900000003,12.0,15.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,1.0,Eager to Please,0.6,Alert/Responsive,2.0,3.0,4,5,3,4.0,iconografia/razas/american_leopard_hound.jpg,"Sociable, enérgico e inteligente. Muy versátil, se adapta bien tanto al trabajo como a la vida en familia. Necesita ejercicio diario y estimulación mental."
American Staffordshire Terrier,"Confident, Smart, Good-Natured",85,43.18,48.26,18.1436948,31.751465900000003,12.0,16.0,Terrier Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive,1.0,2.0,3,3,3,3.4000000000000004,iconografia/razas/american_staffordshire_terrier.jpg,"Seguro, inteligente y de buen carácter. Con una familia cariñosa y una buena socialización, es un perro afectuoso, juguetón y muy leal."
American Water Spaniel,"Eager, Happy, Charming",166,38.1,45.72,11.33980925,20.41165665,10.0,14.0,Sporting Group,0.6,2-3 Times a Week Brushing,0.2,Infrequent,0.6,Regular Exercise,1.0,Eager to Please,0.8,Friendly,3.0,1.0,3,5,4,4.6,iconografia/razas/american_water_spaniel.jpg,"Entusiasta, feliz y encantador. Le encanta el agua y el trabajo al aire libre. Con su familia es cariñoso y siempre está dispuesto a participar en cualquier actividad."
Anatolian Shepherd Dog,"Loyal, Independent, Reserved",90,68.58,73.66,36.2873896,68.0388555,11.0,13.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers,2.0,3.0,3,2,2,2.6,iconografia/razas/anatolian_shepherd_dog.jpg,"Leal, independiente y reservado. Es un guardián nato con un instinto protector muy desarrollado. Necesita espacio y un dueño que entienda su carácter fuerte."
Appenzeller Sennenhund,"Agile, Versatile, Lively",,48.26,55.88,21.77243376,31.751465900000003,12.0,15.0,Foundation Stock Service,0.4,Weekly Brushing,0.8,Regularly,1.0,Needs Lots of Activity,0.2,May be Stubborn,0.4,Reserved with Strangers,2.0,4.0,5,1,2,1.8000000000000005,iconografia/razas/appenzeller_sennenhund.jpg,"Ágil, versátil y lleno de vida. Aprende rápido y necesita tener siempre algo que hacer. Con su familia es cariñoso y juguetón."
Australian Cattle Dog,"Alert, Curious, Pleasant",55,43.18,50.8,15.875732950000002,22.6796185,12.0,16.0,Herding Group,0.2,Occasional Bath/Brush,0.8,Regularly,1.0,Needs Lots of Activity,0.2,May be Stubborn,0.4,Reserved with Strangers,1.0,4.0,5,1,2,1.8000000000000005,iconografia/razas/australian_cattle_dog.jpg,"Alerta, curioso y trabajador. Necesita un propósito y mucho ejercicio para estar equilibrado. Con su familia es leal y protector."
Australian Kelpie,"Loyal, Alert, Intelligent",,43.18,50.8,,,10.0,13.0,Foundation Stock Service,0.4,Weekly Brushing,0.8,Regularly,0.8,Energetic,1.0,Eager to Please,0.6,Alert/Responsive,2.0,4.0,4,5,3,4.0,iconografia/razas/australian_kelpie.jpg,"Leal, alerta e inteligente. Tiene una energía increíble y necesita trabajo o ejercicio intenso cada día. Con su familia es devoto y siempre está atento."
Australian Shepherd,"Smart, Work-Oriented, Exuberant",17,45.72,58.42,18.1436948,29.48350405,12.0,15.0,Herding Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,1.0,Eager to Please,0.6,Alert/Responsive,2.0,3.0,4,5,3,4.0,iconografia/razas/australian_shepherd.jpg,"Inteligente, trabajador y lleno de energía. Aprende cualquier cosa con rapidez y necesita estimulación mental y física constante. Con su familia es muy cariñoso."
Australian Stumpy Tail Cattle Dog,"Alert, Trainable, Comical",,43.18,50.8,14.51495584,20.41165665,12.0,15.0,Foundation Stock Service,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,0.8,Easy Training,0.6,Alert/Responsive,2.0,2.0,4,4,3,3.6000000000000005,iconografia/razas/australian_stumpy_tail_cattle_dog.jpg,"Alerta, entrenable y con mucho carácter. Trabajador nato que necesita ejercicio y tareas para estar equilibrado. Con su familia es leal y protector."
Australian Terrier,"Affectionate, Courageous, Spirited",140,25.4,27.94,6.80388555,9.0718474,11.0,15.0,Terrier Group,0.4,Weekly Brushing,0.2,Infrequent,0.8,Energetic,0.6,Agreeable,0.8,Friendly,2.0,1.0,4,3,4,3.6000000000000005,iconografia/razas/australian_terrier.jpg,"Cariñoso, valiente y lleno de energía. Pequeño pero con una personalidad grande. Es curioso, activo y muy apegado a su familia."
