criatura_id,universo_id,nombre,calma,vinculo,estimulacion,independencia,raza_real_id,explicacion_equivalencia,descripcion,url_imagen
1,1,Fawkes,5,5,2,3,1,Golden Retriever — calma absoluta y lealtad incondicional. Aparece en momentos de crisis sin agitarse. Llanto curativo — presencia terapéutica por excelencia.,"El fénix de Dumbledore, uno de los seres más poderosos y raros del mundo mágico. Capaz de renacer de sus propias cenizas, sus lágrimas curan heridas y su canto infunde valor. Leal a Dumbledore de una manera que va más allá del vínculo habitual entre mago y criatura.",https://static.wikia.nocookie.net/harrypotter/images/f/f8/Fawkes_WB_F2_FawkesCloseUpIllustration_Illust_100615_Port.jpg/revision/latest?cb=20151218225509
2,1,Hedwig,4,5,2,4,2,Labrador Retriever — leal y serena. Vínculo emocional profundo con Harry — su muerte es una de las pérdidas más sentidas de la saga. Presencia discreta y reconfortante.,"La lechuza nival blanca de Harry, regalada por Hagrid el día que supo que era mago. Es su conexión más constante con el mundo mágico cuando está en casa de los Dursley y una de las presencias más fieles de toda la saga. Su muerte al inicio de Las Reliquias de la Muerte marca el fin de la infancia de Harry.",https://static.wikia.nocookie.net/harrypotter/images/1/1e/Hedwig_Snowy_Owl_PM.png/revision/latest/scale-to-width-down/494?cb=20161123234010
3,1,Norbert/Norberta,1,3,5,4,3,Husky Siberiano — energía extrema e independencia marcada. Vínculo real pero condicionado. Refleja el hiperfoco de Hagrid en criaturas peligrosas como si fueran inofensivas.,"El dragón noruego de cresta que Hagrid crió en secreto en su cabaña desde que era un huevo, convencido de que podría domesticarlo como a un perro. Su crecimiento acelerado y su fuego obligaron a enviarlo a Rumanía con Charlie Weasley. Años después se descubrió que era hembra.",iconografia/criaturas/norberto.jpg
4,1,Buckbeak,3,4,3,4,4,Alaskan Malamute — independiente y leal cuando respetas su espacio. Requiere respeto mutuo para establecer el vínculo. No apto para cualquier persona. Metáfora perfecta del vínculo de asistencia basado en respeto y no en imposición.,"El hipogrifo orgulloso que Hagrid presenta en su primera clase de Cuidado de Criaturas Mágicas. Exige ser saludado con respeto antes de acercarse, algo que Draco Malfoy ignora con consecuencias dolorosas. Su huida junto a Sirius Black en el tercer libro es uno de los momentos más memorables de la saga.",https://static.wikia.nocookie.net/harrypotter/images/c/c7/B3C14M1_cropped_Buckbeak_PM.png/revision/latest/scale-to-width-down/600?cb=20220516100927
5,1,La señora Norris,4,5,2,4,5,Pharaoh Hound — silencioso vínculo intenso y selectivo elegante e independiente. El único vínculo real de Filch en toda la saga — conexión casi telepática entre ellos.,"La gata de Argus Filch, sus ojos y sus oídos por todos los pasillos de Hogwarts. Delgada, polvororienta y con ojos como lámparas, patrulla el castillo con una eficiencia que intimida a los alumnos más que el propio Filch. Su petrificación en la Cámara de los Secretos desencadena la crisis del segundo libro.",iconografia/criaturas/sra_norris.jpg
6,1,Nagini,3,4,3,3,6,Dobermann — leal a una sola persona intimidante y precisa. Vínculo oscuro pero profundo con Voldemort — extensión literal de su alma como Horrocrux. Obediencia absoluta a su persona de referencia.,"La serpiente gigante de Voldemort, su compañera más cercana y uno de sus horrocruxes. Capaz de comunicarse con él telepáticamente, actúa como arma, espía y guardiana. Su historia tiene una dimensión trágica que la película Los Crímenes de Grindelwald explora: fue una vez una maledictus, una mujer con la maldición de transformarse irreversiblemente en serpiente.",https://static.wikia.nocookie.net/harrypotter/images/7/70/Nagini_PM.png/revision/latest/scale-to-width-down/600?cb=20161124073206
7,1,Aragog,2,3,3,5,7,Shar Pei — vínculo exclusivo con su persona desconfiado con todos los demás. Respeta y protege a Hagrid pero no extiende ese vínculo a nadie más. Lidera su propia colonia con total autonomía.,"La araña acromántula que Hagrid crió desde que era un huevo y que lleva décadas viviendo en el Bosque Prohibido con su colonia. Hagrid la quería como a una mascota y ella lo respetaba, pero esa lealtad no se extendía a otros humanos. Su funeral, celebrado por Hagrid con lágrimas genuinas, es uno de los momentos más absurdamente tiernos de la saga.",https://static.wikia.nocookie.net/harrypotter/images/2/2c/Aragog_in_his_lair_COSF.jpg/revision/latest/scale-to-width-down/600?cb=20100611145604
8,1,Crookshanks,4,4,2,4,8,Border Collie — inteligencia excepcional y criterio propio. Detecta a Scabbers/Pettigrew cuando ningún humano lo hace. Vínculo profundo con Hermione — la protege activamente con su inteligencia.,"El gato medio kneazle medio doméstico de Hermione, con cara aplastada, pelaje anaranjado y una inteligencia que supera con mucho a la de un gato ordinario. Desde el principio detecta que algo en Scabbers no es lo que parece y persigue al animal con una determinación que resulta completamente justificada.",https://static.wikia.nocookie.net/harrypotter/images/f/ff/Crookshanks_FH.png/revision/latest/scale-to-width-down/600?cb=20161118055031
9,1,Firenze,5,3,2,5,9,Gran Danés — presencia imponente y serena. Rechazado por su manada por ayudar a humanos — actúa según su propio criterio moral. Vínculo selectivo pero genuino con quienes respeta.,"El centauro de ojos azules que salva a Harry en el Bosque Prohibido en el primer libro y que años después acepta el puesto de profesor de Adivinación en Hogwarts, algo que su manada considera una traición imperdonable. Su forma de leer el futuro en las estrellas es completamente diferente a la teatralidad de Trelawney.",https://static.wikia.nocookie.net/harrypotter/images/7/70/B5C27_Firenze_PM_cropped.jpg/revision/latest/scale-to-width-down/417?cb=20161210072818
10,1,Bowtruckle,5,4,1,3,10,Cavalier King Charles Spaniel — calma excepcional y vínculo afectuoso. Estimulación mínima. Ideal para perfiles con hipersensibilidad sensorial o necesidad de entorno tranquilo.,"Una criatura pequeña y frágil hecha de ramas y hojas que vive en árboles de madera mágica y los defiende con unas garras que pueden sacar un ojo. Pickett, el bowtruckle de Newt Scamander, es uno de los personajes más adorables del universo mágico expandido.",https://static.wikia.nocookie.net/harrypotter/images/2/22/Bowtruckle.png/revision/latest?cb=20161129175549
